126: ( 0, 0) = 1
651: ( 352, 176) = inf
660: ( 354, 177) = inf
661: ( 356, 178) = inf
664: ( 358, 179) = inf
667: ( 360, 180) = inf
668: ( 362, 181) = inf
669: ( 364, 182) = inf
675: ( 366, 183) = inf
676: ( 368, 184) = inf
720: ( 370, 185) = inf
721: ( 372, 186) = inf
722: ( 374, 187) = inf
723: ( 376, 188) = inf
724: ( 378, 189) = inf
725: ( 380, 190) = inf
726: ( 382, 191) = inf
753: ( 384, 192) = inf
755: ( 386, 193) = inf
756: ( 388, 194) = inf
769: ( 390, 195) = inf
787: ( 392, 196) = inf
788: ( 394, 197) = inf
806: ( 396, 198) = inf
807: ( 398, 199) = inf
808: ( 400, 200) = inf
809: ( 402, 201) = inf
816: ( 404, 202) = inf
817: ( 406, 203) = inf
818: ( 408, 204) = inf
819: ( 410, 205) = inf
820: ( 412, 206) = inf
821: ( 414, 207) = inf
823: ( 416, 208) = inf
825: ( 418, 209) = inf
837: ( 420, 210) = inf
838: ( 422, 211) = inf
839: ( 424, 212) = inf
846: ( 426, 213) = inf
847: ( 428, 214) = inf
848: ( 430, 215) = inf
849: ( 432, 216) = inf
850: ( 434, 217) = inf
851: ( 436, 218) = inf
852: ( 438, 219) = inf
853: ( 440, 220) = inf
854: ( 442, 221) = inf
855: ( 444, 222) = inf
858: ( 446, 223) = inf
859: ( 448, 224) = inf
864: ( 450, 225) = inf
866: ( 452, 226) = inf
867: ( 454, 227) = inf
868: ( 456, 228) = inf
870: ( 458, 229) = inf
871: ( 460, 230) = inf
874: ( 462, 231) = inf
876: ( 464, 232) = inf
879: ( 466, 233) = inf
880: ( 468, 234) = inf
881: ( 470, 235) = inf
888: ( 472, 236) = inf
889: ( 474, 237) = inf
890: ( 476, 238) = inf
892: ( 478, 239) = inf
893: ( 480, 240) = inf
894: ( 482, 241) = inf
895: ( 484, 242) = inf
904: ( 486, 243) = inf
915: ( 488, 244) = inf
921: ( 490, 245) = inf
926: ( 492, 246) = inf
932: ( 494, 247) = inf
933: ( 496, 248) = inf
934: ( 498, 249) = inf
936: ( 500, 250) = inf
937: ( 502, 251) = inf
939: ( 504, 252) = inf
941: ( 506, 253) = inf
943: ( 508, 254) = inf
945: ( 510, 255) = inf
947: ( 512, 256) = inf
961: ( 514, 257) = inf
963: ( 516, 258) = inf
964: ( 518, 259) = inf
965: ( 520, 260) = inf
967: ( 522, 261) = inf
968: ( 524, 262) = inf
969: ( 526, 263) = inf
971: ( 528, 264) = inf
972: ( 530, 265) = inf
973: ( 532, 266) = inf
974: ( 534, 267) = inf
975: ( 536, 268) = inf
976: ( 538, 269) = inf
977: ( 540, 270) = inf
978: ( 542, 271) = inf
979: ( 544, 272) = inf
980: ( 546, 273) = inf
981: ( 548, 274) = inf
982: ( 550, 275) = inf
984: ( 552, 276) = inf
986: ( 554, 277) = inf
1001: ( 556, 278) = inf
1003: ( 558, 279) = inf
1006: ( 560, 280) = inf
1008: ( 562, 281) = inf
1010: ( 564, 282) = inf
1012: ( 566, 283) = inf
1014: ( 568, 284) = inf
1016: ( 570, 285) = inf
1019: ( 572, 286) = inf
1030: ( 574, 287) = inf
1033: ( 576, 288) = inf
1037: ( 578, 289) = inf
1040: ( 580, 290) = inf
1051: ( 582, 291) = inf
1052: ( 584, 292) = inf
1066: ( 586, 293) = inf
1073: ( 588, 294) = inf
1074: ( 590, 295) = inf
1075: ( 592, 296) = inf
1088: ( 594, 297) = inf
1090: ( 596, 298) = inf
1091: ( 598, 299) = inf
1092: ( 600, 300) = inf
1093: ( 602, 301) = inf
1094: ( 604, 302) = inf
1095: ( 606, 303) = inf
1096: ( 608, 304) = inf
1097: ( 610, 305) = inf
1099: ( 612, 306) = inf
1116: ( 614, 307) = inf
1117: ( 616, 308) = inf
1118: ( 618, 309) = inf
1119: ( 620, 310) = inf
1132: ( 622, 311) = inf
1133: ( 624, 312) = inf
1134: ( 626, 313) = inf
1135: ( 628, 314) = inf
1136: ( 630, 315) = inf
1137: ( 632, 316) = inf
1138: ( 634, 317) = inf
1139: ( 636, 318) = inf
1140: ( 638, 319) = inf
1141: ( 640, 320) = inf
1142: ( 642, 321) = inf
1146: ( 644, 322) = inf
1156: ( 646, 323) = inf
1157: ( 648, 324) = inf
1158: ( 650, 325) = inf
1159: ( 652, 326) = inf
1160: ( 654, 327) = inf
1175: ( 656, 328) = inf
1179: ( 658, 329) = inf
1182: ( 660, 330) = inf
1184: ( 662, 331) = inf
1185: ( 664, 332) = inf
1186: ( 666, 333) = inf
1187: ( 668, 334) = inf
1201: ( 670, 335) = inf
1206: ( 672, 336) = inf
1207: ( 674, 337) = inf
1208: ( 676, 338) = inf
1219: ( 678, 339) = inf
1220: ( 680, 340) = inf
1222: ( 682, 341) = inf
1224: ( 684, 342) = inf
1226: ( 686, 343) = inf
1228: ( 688, 344) = inf
1229: ( 690, 345) = inf
1230: ( 692, 346) = inf
1231: ( 694, 347) = inf
1232: ( 696, 348) = inf
1233: ( 698, 349) = inf
1235: ( 700, 350) = inf
1239: ( 702, 351) = inf
1240: ( 704, 352) = inf
1241: ( 706, 353) = inf
1242: ( 708, 354) = inf
1244: ( 710, 355) = inf
1245: ( 712, 356) = inf
1252: ( 714, 357) = inf
1255: ( 716, 358) = inf
1257: ( 718, 359) = inf
1258: ( 720, 360) = inf
1259: ( 722, 361) = inf
1260: ( 724, 362) = inf
1263: ( 726, 363) = inf
1265: ( 728, 364) = inf
1268: ( 730, 365) = inf
1271: ( 732, 366) = inf
1279: ( 734, 367) = inf
1283: ( 736, 368) = inf
1288: ( 738, 369) = inf
1289: ( 740, 370) = inf
1290: ( 742, 371) = inf
1291: ( 744, 372) = inf
1293: ( 746, 373) = inf
1294: ( 748, 374) = inf
1295: ( 750, 375) = inf
1296: ( 752, 376) = inf
1307: ( 754, 377) = inf
1308: ( 756, 378) = inf
1309: ( 758, 379) = inf
1311: ( 760, 380) = inf
1313: ( 762, 381) = inf
1320: ( 764, 382) = inf
1327: ( 766, 383) = inf
1329: ( 768, 384) = inf
1330: ( 770, 385) = inf
1332: ( 772, 386) = inf
1334: ( 774, 387) = inf
1335: ( 776, 388) = inf
1336: ( 778, 389) = inf
1338: ( 780, 390) = inf
1340: ( 782, 391) = inf
1341: ( 784, 392) = inf
1342: ( 786, 393) = inf
1344: ( 788, 394) = inf
1347: ( 790, 395) = inf
1349: ( 792, 396) = inf
1351: ( 794, 397) = inf
1352: ( 796, 398) = inf
1353: ( 798, 399) = inf
1354: ( 800, 400) = inf
1356: ( 802, 401) = inf
1357: ( 804, 402) = inf
1360: ( 806, 403) = inf
1385: ( 808, 404) = inf
1386: ( 810, 405) = inf
1387: ( 812, 406) = inf
1388: ( 814, 407) = inf
1389: ( 816, 408) = inf
1390: ( 818, 409) = inf
1391: ( 820, 410) = inf
1399: ( 822, 411) = inf
1413: ( 824, 412) = inf
1414: ( 826, 413) = inf
1415: ( 828, 414) = inf
1416: ( 830, 415) = inf
1419: ( 832, 416) = inf
1421: ( 834, 417) = inf
1423: ( 836, 418) = inf
1425: ( 838, 419) = inf
1426: ( 840, 420) = inf
1428: ( 842, 421) = inf
1429: ( 844, 422) = inf
1430: ( 846, 423) = inf
1431: ( 848, 424) = inf
1432: ( 850, 425) = inf
1433: ( 852, 426) = inf
1434: ( 854, 427) = inf
1435: ( 856, 428) = inf
1436: ( 858, 429) = inf
1437: ( 860, 430) = inf
1438: ( 862, 431) = inf
1439: ( 864, 432) = inf
1440: ( 866, 433) = inf
